iter	RMSE
291	3.48622163
292	3.481439534
293	3.474966003
294	3.469653511
295	3.458674843
296	3.45122539
297	3.449465447
298	3.444981184
299	3.437174886
300	3.430549601
301	3.424728899
302	3.415542128
303	3.407547782
304	3.401257543
305	3.3965341
306	3.391643961
307	3.381704971
308	3.37940844
309	3.372321744
310	3.367585118
311	3.357035644
312	3.351154343
313	3.349660643
314	3.342259199
315	3.335413837
316	3.333744643
317	3.32974117
318	3.322067261
319	3.315413979
320	3.308884297
321	3.301323063
322	3.291897383
323	3.285370674
324	3.279083086
325	3.271818116
326	3.267359616
327	3.261187962
328	3.253608026
329	3.249976893
330	3.240361738
331	3.236097847
332	3.229265487
333	3.227629685
334	3.223044342
335	3.219144926
336	3.211369609
337	3.203216274
338	3.195835635
339	3.193237495
340	3.189369151
341	3.185949072
342	3.181262189
343	3.176501035
344	3.171317274
345	3.165716754
346	3.158994424
347	3.153612607
348	3.148832464
349	3.14450887
350	3.142158036
351	3.139574319
352	3.133820358
353	3.125112349
354	3.120001619
355	3.112182871
356	3.105569061
357	3.102598278
358	3.098262383
359	3.096619456
360	3.093498529
361	3.086941095
362	3.081215438
363	3.076420837
364	3.074210922
365	3.069539785
366	3.066726872
367	3.062006669
368	3.0558917
369	3.051086011
370	3.047334089
371	3.042409071
372	3.036025369
373	3.029537078
374	3.027546368
375	3.022585789
376	3.015857916
377	3.012956643
378	3.011701913
379	3.007436271
380	3.001520193
381	2.997499132
382	2.992796787
383	2.987544823
384	2.98652503
385	2.978792436
386	2.973042335
387	2.969307993
388	2.964146359
389	2.95967122
390	2.957012162
391	2.950775774
392	2.947740003
393	2.945026878
394	2.94118248
395	2.933677463
396	2.929965258
397	2.924193451
398	2.921132468
399	2.919616485
400	2.914819204
401	2.90785348
402	2.901964869
403	2.89769875
404	2.895470378
405	2.89347318
406	2.891496235
407	2.88926966
408	2.883981363
409	2.879672755
410	2.875619569
411	2.869122092
412	2.86513435
413	2.859714117
414	2.8559224
415	2.852396077
416	2.848481598
417	2.844683172
418	2.841452527
419	2.837096585
420	2.834514497
421	2.831578827
422	2.826742389
423	2.824214424
424	2.820081768
425	2.811923593
426	2.80959832
427	2.804774262
428	2.802565162
429	2.797489119
430	2.792801784
431	2.787796312
432	2.784384777
433	2.776531009
434	2.771991574
435	2.765264297
436	2.762051664
437	2.757524126
438	2.753246487
439	2.749070697
440	2.745631768
441	2.745147632
442	2.741435817
443	2.738057642
444	2.736301826
445	2.730057128
446	2.727525859
447	2.722711088
448	2.721154183
449	2.717186524
450	2.713573162
451	2.71117199
452	2.707675497
453	2.705645119
454	2.703808719
455	2.700972418
456	2.696264905
457	2.695517216
458	2.690345036
459	2.683995179
460	2.680390088
461	2.67843502
462	2.674185943
463	2.670256877
464	2.666730375
465	2.664683469
466	2.661270112
467	2.658965864
468	2.657136944
469	2.653113762
470	2.650950651
471	2.648348926
472	2.645429395
473	2.643227734
474	2.638657543
475	2.635588655
476	2.631786591
477	2.628633843
478	2.625505541
479	2.619758433
480	2.618528506
481	2.615639044
482	2.613519455
483	2.609878681
484	2.607284864
485	2.603428007
486	2.599224441
487	2.593668648
488	2.590731276
489	2.588941824
490	2.586522367
491	2.584640755
492	2.581209369
493	2.579440523
494	2.577755737
495	2.574132081
496	2.570844014
497	2.567418959
498	2.563922305
499	2.560799278
500	2.558392927
501	2.554875999
502	2.553506719
503	2.55106145
504	2.548284977
505	2.545074287
506	2.543842084
507	2.539949379
508	2.537927788
509	2.535254323
510	2.531858866
511	2.528798676
512	2.527169531
513	2.524628094
514	2.520624225
515	2.517733264
516	2.516233254
517	2.512977199
518	2.511960432
519	2.510272724
520	2.506154803
521	2.503215152
522	2.49862951
523	2.49736448
524	2.495523735
525	2.491646599
526	2.489503262
527	2.487826116
528	2.4863422
529	2.482962238
530	2.479737567
531	2.47776845
532	2.474686157
533	2.472113725
534	2.467385749
535	2.465512876
536	2.463184591
537	2.461898622
538	2.458953623
539	2.456651277
540	2.453943843
541	2.449505456
542	2.445820849
543	2.441889888
544	2.439298711
545	2.436860293
546	2.43562055
547	2.433678675
548	2.429910129
549	2.426953373
550	2.423712992
551	2.420144796
552	2.416414929
553	2.414137207
554	2.412709525
555	2.410759496
556	2.408632303
557	2.405951968
558	2.401947779
559	2.399713605
560	2.398115025
561	2.396593054
562	2.394497494
563	2.39051151
564	2.387564124
565	2.38519295
566	2.381544867
567	2.379700088
568	2.375854892
569	2.373298083
570	2.371654474
571	2.367434035
572	2.365634876
573	2.364905891
574	2.362451749
575	2.360472258
576	2.35693401
577	2.351418316
578	2.34782943
579	2.344658164
580	2.342189165
581	2.338282395
582	2.333577796
583	2.331660521
584	2.330857169
585	2.32848067
586	2.326448311
587	2.324813556
588	2.323120156
589	2.322268151
590	2.319397032
591	2.315620749
592	2.313933123
593	2.312185767
594	2.308130536
595	2.306606568
596	2.304088704
597	2.302342243
598	2.301905999
599	2.300752752
600	2.298371262
601	2.295564396
602	2.292983843
603	2.290760456
604	2.288935145
605	2.287270382
606	2.28371416
607	2.280150665
608	2.278437583
609	2.274873582
610	2.272472926
611	2.269612324
612	2.267412808
613	2.265652162
614	2.26392748
615	2.260659012
616	2.256633506
617	2.254239895
618	2.252623568
619	2.248920198
620	2.245758191
621	2.243103394
622	2.241830744
623	2.239717532
624	2.237951318
625	2.235436211
626	2.233021969
627	2.231568495
628	2.229522658
629	2.225819707
630	2.223336813
631	2.221571736
632	2.219565902
633	2.217726611
634	2.216786516
635	2.213510978
636	2.210672267
637	2.208410993
638	2.206336873
639	2.203931012
640	2.201487083
641	2.199314392
642	2.197205654
643	2.196029987
644	2.193492428
645	2.193016177
646	2.189366629
647	2.188025856
648	2.186021373
649	2.182715575
650	2.180897094
651	2.178714506
652	2.176791916
653	2.175253286
654	2.172683291
655	2.170626503
656	2.168172533
657	2.166176837
658	2.164647085
659	2.16308795
660	2.16062396
661	2.158049672
662	2.156906053
663	2.154809064
664	2.154247863
665	2.151968408
666	2.149643508
667	2.146457218
668	2.14402244
669	2.140989678
670	2.138140028
671	2.137308437
672	2.133875923
673	2.131585923
674	2.130596828
675	2.129130792
676	2.127745495
677	2.126108669
678	2.12429394
679	2.122394243
680	2.120335899
681	2.117783888
682	2.116120387
683	2.114950882
684	2.112228717
685	2.110138596
686	2.108167918
687	2.106014202
688	2.104026776
689	2.102843271
690	2.099913465
691	2.097229979
692	2.095945859
693	2.094261231
694	2.09186134
695	2.090541433
696	2.088546777
697	2.085714721
698	2.082780265
699	2.080873696
700	2.080620156
701	2.078938004
702	2.07677146
703	2.074360012
704	2.072454784
705	2.07062281
706	2.068259059
707	2.065441444
708	2.063313442
709	2.060691741
710	2.059240001
711	2.056768865
712	2.055719862
713	2.053139617
714	2.052685635
715	2.051013547
716	2.050578123
717	2.049144399
718	2.047213523
719	2.046370258
720	2.044600482
721	2.042102379
722	2.041086431
723	2.038973538
724	2.037012081
725	2.034642379
726	2.033501167
727	2.031912652
728	2.030285668
729	2.02860114
730	2.02662533
731	2.023982995
732	2.019724308
733	2.017220718
734	2.016427149
735	2.014813422
736	2.013603871
737	2.011124368
738	2.008940359
739	2.007037943
740	2.003767084
741	2.00219494
742	2.000263537
743	1.997518156
744	1.994181123
745	1.992606319
746	1.990990748
747	1.989281498
748	1.987132432
749	1.984700391
750	1.982516451
751	1.981341584
752	1.979114582
753	1.977185863
754	1.9757586
755	1.973535759
756	1.97177223
757	1.969816355
758	1.967902047
759	1.967389983
760	1.965008724
761	1.963160907
762	1.962415138
763	1.960692708
764	1.958396282
765	1.956742707
766	1.955646307
767	1.954609148
768	1.952850476
769	1.951776212
770	1.951143035
771	1.949799745
772	1.948177861
773	1.946489456
774	1.944296199
775	1.942099086
776	1.940290387
777	1.937894146
778	1.935661147
779	1.934049234
780	1.932450511
781	1.931418448
782	1.928798392
783	1.927971285
784	1.926469319
785	1.925262786
786	1.922673279
787	1.921883255
788	1.920576639
789	1.918792807
790	1.917151572
791	1.915870877
792	1.913743384
793	1.913124523
794	1.911887985
795	1.909807136
796	1.908193655
797	1.906637048
798	1.905234299
799	1.90327686
800	1.902014778
801	1.900961253
802	1.899799261
803	1.898562986
804	1.896099768
805	1.894499349
806	1.892580172
807	1.890577434
808	1.889248589
809	1.887445616
810	1.885814173
811	1.884515362
812	1.883638464
813	1.882065601
814	1.880736545
815	1.879082477
816	1.877352894
817	1.876335209
818	1.874866192
819	1.8736463
820	1.872411886
821	1.870445004
822	1.868774772
823	1.867400391
824	1.865895541
825	1.865314624
826	1.863459295
827	1.862163285
828	1.860439537
829	1.859932885
830	1.858507913
831	1.856843528
832	1.856128749
833	1.854663186
834	1.853260018
835	1.851530699
836	1.849621565
837	1.848963605
838	1.847833966
839	1.846049444
840	1.844594163
841	1.843280892
842	1.84226339
843	1.840927191
844	1.839184579
845	1.837629323
846	1.836577698
847	1.834176139
848	1.832329297
849	1.831642422
850	1.830198046
851	1.829367715
852	1.828255943
853	1.827184577
854	1.826158509
855	1.824016344
856	1.822777815
857	1.821486046
858	1.820309751
859	1.819111038
860	1.817769449
861	1.816201511
862	1.815412008
863	1.813789477
864	1.81163474
865	1.809532631
866	1.808162701
867	1.805046926
868	1.80376231
869	1.802344875
870	1.801396684
871	1.799626447
872	1.798444975
873	1.797373559
874	1.795901706
875	1.795079949
876	1.794243049
877	1.792535042
878	1.791560582
879	1.790220464
880	1.789192096
881	1.787498597
882	1.786748726
883	1.784655926
884	1.783660121
885	1.782714053
886	1.781706539
887	1.779984299
888	1.778306887
889	1.776663665
890	1.775405555
891	1.773044951
892	1.771785786
893	1.770280462
894	1.769775411
895	1.769166911
896	1.768266752
897	1.767093752
898	1.76535549
899	1.763764769
900	1.761462607
901	1.760491544
902	1.759132521
903	1.757464193
904	1.756392178
905	1.754362171
906	1.753453331
907	1.751987382
908	1.750641201
909	1.749361967
910	1.74834502
911	1.74699826
912	1.744935334
913	1.743897058
914	1.743421891
915	1.74220003
916	1.740877358
917	1.739365319
918	1.737278976
919	1.735501863
920	1.733968373
921	1.732450264
922	1.730811298
923	1.72959927
924	1.727393646
925	1.726611748
926	1.725435597
927	1.723469268
928	1.722308918
929	1.721044228
930	1.719364748
931	1.717715128
932	1.716735601
933	1.716432577
934	1.714874521
935	1.712765986
936	1.711952291
937	1.710780063
938	1.709645338
939	1.708447342
940	1.707450144
941	1.706079915
942	1.704820295
943	1.703253886
944	1.701471164
945	1.700766947
946	1.699788784
947	1.69917836
948	1.698195914
949	1.696859937
950	1.695964695
951	1.695244638
952	1.694176998
953	1.692888869
954	1.691603496
955	1.690230578
956	1.688918291
957	1.686982791
958	1.683952589
959	1.682654847
960	1.680834332
961	1.679250656
962	1.678025379
963	1.67653193
964	1.675108192
965	1.674184765
966	1.672881715
967	1.671206832
968	1.670527399
969	1.669359793
970	1.668434139
971	1.667518292
972	1.666840008
973	1.664551208
974	1.663287454
975	1.661866978
976	1.660767769
977	1.659255257
978	1.65849762
979	1.657518869
980	1.656599894
981	1.655012465
982	1.653492781
983	1.651836945
984	1.650655674
985	1.64928139
986	1.647872317
987	1.646828538
988	1.645610335
989	1.644592134
990	1.643133511
991	1.641598764
992	1.640475725
993	1.639087199
994	1.637610487
995	1.636017884
996	1.635710999
997	1.633957488
998	1.6328956
999	1.631702485
